b'1684',29/11/2009,SS,29
b'1684',29/11/2009,SS,31
b'1684',29/11/2009,SS,34
b'1684',29/11/2009,SS,36
b'1684',29/11/2009,SS,38
b'2102',1/12/2013,T,05
b'2102',1/12/2013,T,07
b'2102',1/12/2013,T,09
b'2102',1/12/2013,T,17
b'2102',1/12/2013,T,29
b'2102',1/12/2013,T,38
b'2102',1/12/2013,S,14
b'2102',1/12/2013,S,20
b'2102',1/12/2013,S,21
b'2102',1/12/2013,S,26
b'2102',1/12/2013,S,39
b'2102',1/12/2013,S,42
b'2102',1/12/2013,R,03
b'2102',1/12/2013,R,06
b'2102',1/12/2013,R,24
b'2102',1/12/2013,R,36
b'2102',1/12/2013,R,38
b'2102',1/12/2013,R,44
b'2102',1/12/2013,SS,03
b'2102',1/12/2013,SS,05
b'2102',1/12/2013,SS,08
b'2102',1/12/2013,SS,18
b'2102',1/12/2013,SS,20
b'2102',1/12/2013,SS,25
b'2417',7/12/2016,T,01
b'2417',7/12/2016,T,04
b'2417',7/12/2016,T,07
b'2417',7/12/2016,T,36
b'2417',7/12/2016,T,42
b'2417',7/12/2016,T,44
b'2417',7/12/2016,S,08
b'2417',7/12/2016,S,18
b'2417',7/12/2016,S,29
b'2417',7/12/2016,S,36
b'2417',7/12/2016,S,42
b'2417',7/12/2016,S,45
b'2417',7/12/2016,R,21
b'2417',7/12/2016,R,22
b'2417',7/12/2016,R,23
b'2417',7/12/2016,R,26
b'2417',7/12/2016,R,29
b'2417',7/12/2016,R,35
b'2417',7/12/2016,SS,03
b'2417',7/12/2016,SS,14
b'2417',7/12/2016,SS,18
b'2417',7/12/2016,SS,33
b'2417',7/12/2016,SS,34
b'2417',7/12/2016,SS,35
b'2047',22/5/2013,T,13
b'2047',22/5/2013,T,27
b'2047',22/5/2013,T,30
b'2047',22/5/2013,T,37
b'2047',22/5/2013,T,41
b'2047',22/5/2013,T,45
b'2047',22/5/2013,S,06
b'2047',22/5/2013,S,08
b'2047',22/5/2013,S,13
b'2047',22/5/2013,S,21
b'2047',22/5/2013,S,22
b'2047',22/5/2013,S,37
b'2047',22/5/2013,R,01
b'2047',22/5/2013,R,05
b'2047',22/5/2013,R,27
b'2047',22/5/2013,R,29
b'2047',22/5/2013,R,38
b'2047',22/5/2013,R,40
b'2047',22/5/2013,SS,07
b'2047',22/5/2013,SS,14
b'2047',22/5/2013,SS,29
b'2047',22/5/2013,SS,32
b'2047',22/5/2013,SS,34
b'2047',22/5/2013,SS,45
b'1391',31/1/2007,T,06
b'1391',31/1/2007,T,10
b'1391',31/1/2007,T,12
b'1391',31/1/2007,T,17
b'1391',31/1/2007,T,39
b'1391',31/1/2007,T,45
b'1391',31/1/2007,S,03
b'1391',31/1/2007,S,06
b'1391',31/1/2007,S,18
b'1391',31/1/2007,S,38
b'1391',31/1/2007,S,39
b'1391',31/1/2007,S,40
b'1391',31/1/2007,R,09
b'1391',31/1/2007,R,18
b'1391',31/1/2007,R,21
b'1391',31/1/2007,R,24
b'1391',31/1/2007,R,30
b'1391',31/1/2007,R,38
b'1391',31/1/2007,SS,03
b'1391',31/1/2007,SS,13
b'1391',31/1/2007,SS,14
b'1391',31/1/2007,SS,25
b'1391',31/1/2007,SS,31
b'1391',31/1/2007,SS,45
b'1515',17/4/2008,T,02
b'1515',17/4/2008,T,06
b'1515',17/4/2008,T,07
b'1515',17/4/2008,T,14
b'1515',17/4/2008,T,29
b'1515',17/4/2008,T,38
b'1515',17/4/2008,S,00
b'1515',17/4/2008,S,14
b'1515',17/4/2008,S,18
b'1515',17/4/2008,S,24
b'1515',17/4/2008,S,27
b'1515',17/4/2008,S,29
b'1515',17/4/2008,R,03
b'1515',17/4/2008,R,05
b'1515',17/4/2008,R,06
b'1515',17/4/2008,R,17
b'1515',17/4/2008,R,19
b'1515',17/4/2008,R,31
b'1515',17/4/2008,SS,03
b'1515',17/4/2008,SS,15
b'1515',17/4/2008,SS,23
b'1515',17/4/2008,SS,26
b'1515',17/4/2008,SS,44
b'1515',17/4/2008,SS,45
b'1846',19/6/2011,T,08
b'1846',19/6/2011,T,13
b'1846',19/6/2011,T,17
b'1846',19/6/2011,T,23
b'1846',19/6/2011,T,35
b'1846',19/6/2011,T,43
b'1846',19/6/2011,S,04
b'1846',19/6/2011,S,06
b'1846',19/6/2011,S,08
b'1846',19/6/2011,S,17
b'1846',19/6/2011,S,27
b'1846',19/6/2011,S,32
b'1846',19/6/2011,R,01
b'1846',19/6/2011,R,04
b'1846',19/6/2011,R,07
b'1846',19/6/2011,R,09
b'1846',19/6/2011,R,30
b'1846',19/6/2011,R,33
b'1846',19/6/2011,SS,00
b'1846',19/6/2011,SS,05
b'1846',19/6/2011,SS,14
b'1846',19/6/2011,SS,16
b'1846',19/6/2011,SS,19
b'1846',19/6/2011,SS,36
b'2293',30/9/2015,T,05
b'2293',30/9/2015,T,21
b'2293',30/9/2015,T,23
b'2293',30/9/2015,T,24
b'2293',30/9/2015,T,37
b'2293',30/9/2015,T,39
b'2293',30/9/2015,S,02
b'2293',30/9/2015,S,27
b'2293',30/9/2015,S,28
b'2293',30/9/2015,S,38
b'2293',30/9/2015,S,41
b'2293',30/9/2015,S,45
b'2293',30/9/2015,R,00
b'2293',30/9/2015,R,01
b'2293',30/9/2015,R,11
b'2293',30/9/2015,R,14
b'2293',30/9/2015,R,23
b'2293',30/9/2015,R,29
b'2293',30/9/2015,SS,02
b'2293',30/9/2015,SS,28
b'2293',30/9/2015,SS,32
b'2293',30/9/2015,SS,33
b'2293',30/9/2015,SS,39
b'2293',30/9/2015,SS,45
b'2339',13/3/2016,T,06
b'2339',13/3/2016,T,12
b'2339',13/3/2016,T,31
b'2339',13/3/2016,T,34
b'2339',13/3/2016,T,35
b'2339',13/3/2016,T,43
b'2339',13/3/2016,S,00
b'2339',13/3/2016,S,04
b'2339',13/3/2016,S,05
b'2339',13/3/2016,S,15
b'2339',13/3/2016,S,36
b'2339',13/3/2016,S,41
b'2339',13/3/2016,R,12
b'2339',13/3/2016,R,23
b'2339',13/3/2016,R,27
b'2339',13/3/2016,R,28
